modality,scope,n,metric,rho_vs_ari,p
PBMC,all,11,anisotropy,0.709,0.015
PBMC,all,11,effective_rank,-0.336,0.312
PBMC,all,11,intrinsic_dim_twonn,-0.227,0.502
PBMC,all,11,uniformity,0.555,0.077
PBMC,all,11,alignment,-0.527,0.096
PBMC,all,11,knn_consistency,0.518,0.102
PBMC,real,8,anisotropy,0.333,0.42
PBMC,real,8,effective_rank,0.214,0.61
PBMC,real,8,intrinsic_dim_twonn,0.452,0.26
PBMC,real,8,uniformity,-0.143,0.736
PBMC,real,8,alignment,0.214,0.61
PBMC,real,8,knn_consistency,-0.262,0.531
PBMC,PCA,6,anisotropy,-0.6,0.208
PBMC,PCA,6,effective_rank,0.6,0.208
PBMC,PCA,6,intrinsic_dim_twonn,0.6,0.208
PBMC,PCA,6,uniformity,-0.6,0.208
PBMC,PCA,6,alignment,0.6,0.208
PBMC,PCA,6,knn_consistency,0.771,0.072
text,all,9,anisotropy,0.45,0.224
text,all,9,effective_rank,-0.117,0.765
text,all,9,intrinsic_dim_twonn,-0.45,0.224
text,all,9,uniformity,0.317,0.406
text,all,9,alignment,-0.4,0.286
text,all,9,knn_consistency,0.783,0.013
text,real,6,anisotropy,-0.486,0.329
text,real,6,effective_rank,0.486,0.329
text,real,6,intrinsic_dim_twonn,0.486,0.329
text,real,6,uniformity,-0.486,0.329
text,real,6,alignment,0.486,0.329
text,real,6,knn_consistency,0.429,0.397
text,PCA,6,anisotropy,-0.486,0.329
text,PCA,6,effective_rank,0.486,0.329
text,PCA,6,intrinsic_dim_twonn,0.486,0.329
text,PCA,6,uniformity,-0.486,0.329
text,PCA,6,alignment,0.486,0.329
text,PCA,6,knn_consistency,0.429,0.397
