embedding,group,linear_probe,ari,probe_rank,ari_rank,rank_gap
ICA-30,ICA,0.9603228681501924,0.6221039111407416,1.0,11.0,10.0
NMF-10,NMF,0.93618825829452,0.8457260411427695,12.0,3.0,9.0
NMF-30,NMF,0.9398522703313976,0.8545854596687699,9.0,2.0,7.0
PCA-10,PCA,0.9583021869549384,0.7295039213354549,4.0,7.0,3.0
PCA-5,PCA,0.950977037931497,0.6256356109180846,7.0,10.0,3.0
scVI-10,scVI,0.9365687232859908,0.4892007621505239,11.0,14.0,3.0
PCA-2,PCA,0.904098863396776,0.5511100509816304,14.0,12.0,2.0
AE-30,AE,0.9369508653901444,0.6951063149287527,10.0,8.0,2.0
PCA-50,PCA,0.951986659766546,0.8132092006398702,6.0,5.0,1.0
PCA-30,PCA,0.9567846395645256,0.7325440421252422,5.0,6.0,1.0
PCA-15,PCA,0.9586800164836218,0.8141379553887713,3.0,4.0,1.0
ICA-10,ICA,0.9590609606501448,0.8601133703595454,2.0,1.0,1.0
AE-10,AE,0.9440215724608514,0.6829452574617078,8.0,9.0,1.0
scVI-30,scVI,0.9359366913920992,0.4990359914041408,13.0,13.0,0.0
