embedding,group,dim,anisotropy,effective_rank,intrinsic_dim_twonn,uniformity,alignment,knn_consistency,ari,nmi,knn_acc,silhouette_lab,linear_probe,knn_label_purity
PCA-50,PCA,50,0.003763531674095987,46.764748148198215,27.825690731945322,-3.5076056851981208,0.8132145710671753,0.015361525378654796,0.8540239762649263,0.8356762423745036,0.9279756770743488,0.12345748884019228,0.9552678109366914,0.8905483952489258
PCA-30,PCA,30,0.008613420972866956,27.45931703960498,19.988004528757024,-3.1826762366615435,0.5561293526209671,0.020923623457941968,0.8576477811592225,0.8372276007633094,0.9484474728307746,0.1786944213128909,0.9503406934621355,0.9080111195350014
PCA-15,PCA,15,0.022091004656748896,13.48093698806872,11.87847725571367,-2.606178442006273,0.2394636273034991,0.022639941752217844,0.8547445723971073,0.8353548554812632,0.9492072048760853,0.28334503311151216,0.9510989879822898,0.9214303765478897
PCA-10,PCA,10,0.034401516898510155,9.074143197554807,8.454295846256883,-2.2116833786350596,0.10823703300227144,0.030894492942856552,0.861736889969433,0.837588710830309,0.9476913345983554,0.36711677353757743,0.9503428497498707,0.9256254738438211
PCA-5,PCA,5,0.05251186294950603,4.839524304318148,5.0367675193684995,-1.6835161844111217,0.018614134588573004,0.011902434082899954,0.5737056595018233,0.7253529076978472,0.9272195388419296,0.39993295308056875,0.9253212868725204,0.8949203942380592
PCA-2,PCA,2,0.0845150058857686,1.9728529868036628,1.9976186415905792,-1.208057487491252,0.00035444699545670406,0.004879839224039376,0.5181070710864079,0.6727584433342674,0.8972715772526019,0.4002334973608902,0.8775623885918004,0.8466767753348496
RandProj-30,control,30,-0.000781829514005755,29.80783985481061,23.67996850865083,-3.727566909383782,0.9577133683061756,0.003752573332453597,0.08341213037075919,0.14409436927942398,0.5197084698982233,0.003634356544134452,0.6178993444885286,0.416477129138236
Noise-30,control,30,0.00025424168977366234,29.95807746969755,22.41530207413357,-3.73363633971503,0.9720988697710022,0.0029382985318777846,-0.00028266151210146694,0.00487047717192779,0.395753550687137,-0.015422927901012427,0.43024696682191943,0.26264847106393735
ShufPCA-30,control,30,0.004117503298949931,27.415031386916823,20.98663367983452,-3.3688257886345845,0.6836530157169575,0.0029102880596959184,0.000643790511285434,0.0050883695881251,0.3832470818239319,-0.041653409640344634,0.42987177275602323,0.25074551427849384
scVI-30,scVI,30,-0.0007402574410662055,27.932065963745117,16.47189195299398,-3.5031306743621826,0.6533228158950806,0.053357628944957484,0.5354637734568102,0.7168386814138116,0.9423875855327468,0.09040044248104095,0.9427656546489563,0.8772049532474097
scVI-10,scVI,10,-0.000343609310220927,9.83072280883789,9.032556074807982,-3.04914927482605,0.30289945006370544,0.014668988552215727,0.4471524732423411,0.6676771135569355,0.9272195388419296,0.12618716061115265,0.9298746478063367,0.874728329542583
